0;18;4;4;3;2;0;1;1;1;1;0
0;17;1;1;3;2;0;0;1;1;1;0
0;15;1;1;3;2;3;1;1;2;3;0
0;15;4;2;1;3;0;0;1;1;1;1
0;16;3;3;4;2;0;0;1;1;2;0
0;16;4;3;2;2;0;0;1;1;2;1
0;16;2;2;4;2;0;0;1;1;1;0
0;17;4;4;4;2;0;1;1;1;1;0
0;15;3;2;2;2;0;0;1;1;1;1
0;15;3;4;4;2;0;0;1;1;1;1
0;15;4;4;0;2;0;0;1;1;2;0
0;15;2;1;2;3;0;0;1;1;1;0
0;15;4;4;1;1;0;0;1;1;3;1
0;15;4;3;0;2;0;0;1;1;2;0
0;15;2;2;4;3;0;0;1;1;1;1
0;16;4;4;1;1;0;0;1;1;2;1
0;16;4;4;2;3;0;0;1;1;2;1
0;16;3;3;4;2;0;1;1;1;1;0
0;17;3;2;2;1;3;0;1;2;4;0
0;16;4;3;1;1;0;0;1;1;3;0
0;15;4;3;0;2;0;0;1;1;1;1
0;15;4;4;1;1;0;0;1;1;1;1
0;16;4;2;0;2;0;0;1;1;3;1
0;16;2;2;4;2;0;0;1;2;4;0
0;15;2;4;2;3;0;1;1;1;1;0
0;16;2;2;2;1;2;0;1;1;3;0
0;15;2;2;4;1;0;0;1;1;2;0
0;15;4;2;1;1;0;0;1;2;4;1
0;16;3;4;2;2;0;1;1;1;1;0
0;16;4;4;0;2;0;0;1;5;5;0
0;15;4;4;1;2;0;0;1;3;4;0
0;15;4;4;2;2;0;0;1;1;1;1
0;15;4;3;0;2;0;0;1;1;1;1
0;15;3;3;4;2;0;0;1;1;1;0
0;16;3;2;4;1;0;0;1;1;1;1
0;15;2;3;4;1;0;0;1;1;1;0
0;15;4;3;0;3;0;0;1;1;1;1
0;16;4;4;4;3;0;0;1;1;1;1
0;15;3;4;2;3;0;1;1;1;1;0
0;15;2;2;3;1;0;1;1;1;1;0
0;16;2;2;4;2;1;0;1;1;2;0
0;15;4;4;0;1;0;0;1;2;4;0
0;15;4;4;2;2;0;0;1;1;1;1
0;15;2;2;2;1;0;1;1;1;1;0
0;16;2;2;4;2;1;1;1;2;2;0
0;15;4;3;4;2;0;1;1;1;1;0
0;16;3;3;4;2;0;0;1;1;4;0
0;16;4;3;1;4;0;0;1;1;1;1
0;15;4;2;0;2;0;0;1;2;2;1
0;15;4;4;2;2;1;1;1;1;1;0
0;16;2;2;2;2;0;0;1;2;3;0
0;15;4;2;1;2;0;0;1;1;1;0
0;15;4;2;1;1;1;0;1;3;4;0
0;15;4;4;2;1;0;1;1;2;3;0
0;15;3;3;4;1;0;0;1;4;4;0
0;16;2;1;4;2;0;0;1;1;1;0
0;15;4;3;2;2;0;0;1;1;1;1
0;15;4;4;0;2;0;0;1;1;1;1
0;15;1;2;4;2;0;1;1;1;1;0
0;16;4;2;2;2;0;0;1;1;1;1
0;16;4;4;1;2;0;0;1;2;3;0
0;16;1;1;2;1;0;1;1;5;5;0
0;16;1;2;4;2;0;1;1;1;1;0
0;16;4;3;0;3;0;1;1;2;4;0
0;15;4;3;2;2;0;1;1;2;4;0
0;16;4;3;0;2;0;0;1;1;2;1
0;15;4;4;4;4;0;0;1;5;5;0
0;16;3;1;2;4;0;1;1;1;2;0
0;15;2;2;1;2;0;1;1;1;3;0
0;15;3;1;4;4;0;0;1;2;3;1
0;16;3;1;4;4;0;0;1;1;1;1
0;15;4;2;4;4;0;0;1;1;1;0
0;15;1;1;4;2;2;1;1;2;4;0
0;16;3;1;4;1;0;0;1;2;2;1
0;16;3;3;4;2;0;1;1;2;4;0
0;15;4;3;0;2;0;0;1;2;3;0
0;15;4;0;0;4;0;0;1;1;1;0
0;16;2;2;4;4;0;0;1;1;3;0
0;17;2;1;4;1;3;1;0;1;1;0
0;16;3;4;3;2;0;0;1;1;2;0
0;15;2;3;4;1;0;1;1;1;3;0
0;15;2;3;4;3;0;1;1;1;2;0
0;15;3;2;2;2;0;0;1;1;1;0
0;15;2;2;2;2;0;0;1;1;3;1
0;15;1;1;4;2;0;0;1;2;3;0
0;15;4;4;2;2;2;0;1;2;3;0
0;16;2;2;3;2;0;0;1;1;2;0
0;15;4;2;4;3;0;0;1;1;3;1
0;16;2;2;2;2;1;0;1;1;1;0
0;16;4;4;0;2;0;0;1;3;5;0
0;16;3;3;4;3;0;0;1;1;3;0
0;15;4;3;2;1;0;0;1;1;3;1
0;16;3;1;4;2;0;1;1;2;3;0
0;16;4;2;0;2;0;0;1;1;1;0
0;15;2;2;2;4;0;0;1;1;1;1
0;15;1;1;3;4;1;1;1;1;1;0
0;16;4;3;2;1;0;1;1;1;1;1
0;16;2;1;4;2;0;0;1;1;1;0
0;16;4;4;4;1;0;0;1;1;2;1
0;16;4;3;4;3;0;1;1;1;1;0
0;16;4;4;2;1;0;1;1;5;5;0
0;16;4;4;2;3;0;0;1;1;1;1
0;15;4;4;2;1;0;0;1;1;1;1
0;15;3;2;2;2;0;1;1;1;1;0
0;15;3;4;2;2;0;0;1;1;1;1
0;15;3;3;4;4;0;1;1;1;1;0
0;15;2;2;4;4;0;1;1;1;1;0
0;16;3;3;2;3;0;0;1;1;1;1
0;15;4;4;4;4;0;0;1;3;5;0
0;16;4;4;1;3;0;0;1;1;1;1
0;15;4;4;0;1;0;0;1;1;1;1
0;16;3;3;2;3;1;1;1;1;1;0
0;16;2;2;3;2;1;1;1;1;1;0
0;15;4;2;0;1;0;0;1;1;1;1
0;15;2;1;1;2;0;0;1;1;1;0
0;16;4;4;0;2;0;0;1;1;2;1
0;15;4;4;4;2;0;0;1;1;1;1
0;16;3;3;4;1;0;0;1;1;1;0
0;17;1;3;4;2;1;0;1;1;4;0
0;15;3;4;4;1;0;0;1;1;2;0
0;15;1;2;3;2;0;0;1;1;2;1
0;15;2;2;2;4;0;0;1;1;2;1
0;16;2;4;4;2;0;0;1;1;2;0
0;16;4;4;1;1;0;0;1;1;4;0
0;16;2;2;4;2;0;0;1;1;1;0
0;15;3;4;2;1;0;1;1;3;2;0
0;15;3;4;4;2;0;1;1;1;1;0
